trial_id,epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size,width_floor_pts,width_floor_weight,width_norm,width_floor_pct,mae_pts_GE1,mae_pts_GE2,mae_pts_VP,mae_pts_VA,mae_pts_CG,mae_pts_MB,mae_pts_MA,mae_pts_MP,cov_10_90_GE1,cov_10_90_GE2,cov_10_90_VP,cov_10_90_VA,cov_10_90_CG,cov_10_90_MB,cov_10_90_MA,cov_10_90_MP,width_10_90_GE1,width_10_90_GE2,width_10_90_VP,width_10_90_VA,width_10_90_CG,width_10_90_MB,width_10_90_MA,width_10_90_MP
default,13,1.213506,1.004949,0.329144,0.292337,0.000800,1530.90,64,32,0.3,32,0.5,0.05,0.733,0.124,1.5460,0.6134,1.5694,0.0473,0.6553,1.5729,0.6300,0.6795,0.886,0.818,0.661,0.913,0.760,0.634,0.683,0.801,5.621,1.362,3.669,0.217,1.290,3.625,1.128,1.657
v6-fb-final-v2,0,19.781945,2.427902,2.477469,0.813733,0.000160,121.72,64,32,0.2,32,0.5,0.05,2.534,0.002,2.9932,1.5486,2.7040,0.5727,1.8929,2.5498,3.9255,1.9427,0.743,0.622,0.646,0.930,0.676,0.738,0.857,0.838,9.223,3.756,6.611,3.257,5.103,6.961,10.693,6.605
default,14,1.215062,1.071566,0.326493,0.300978,0.000799,1655.05,64,32,0.3,32,0.5,0.05,0.755,0.125,1.5595,0.6344,1.8099,0.0613,0.6077,1.3286,0.6138,0.8505,0.782,0.789,0.557,0.857,0.821,0.821,0.886,0.753,4.316,1.377,4.149,0.191,1.337,3.689,1.925,1.797
v6-fb-final-v2,1,2.582658,1.522430,0.767077,0.508305,0.000320,246.76,64,32,0.2,32,0.5,0.05,1.322,0.038,2.3992,0.9279,1.5983,0.4334,1.2485,1.8627,1.2543,1.6188,0.763,0.680,0.707,0.668,0.743,0.881,0.603,0.760,7.122,2.183,4.163,0.952,3.281,6.912,2.479,3.557
default,15,1.210493,1.072955,0.326206,0.312927,0.000799,1770.67,64,32,0.3,32,0.5,0.05,0.778,0.123,1.5355,0.6440,1.6416,0.0482,1.2014,1.3323,0.6169,0.6869,0.787,0.571,0.637,0.843,0.407,0.833,0.801,0.823,4.220,1.190,4.092,0.185,2.287,3.965,1.509,1.825
v6-fb-final-v2,2,1.889320,1.252407,0.550284,0.398754,0.000480,361.02,64,32,0.2,32,0.5,0.05,1.031,0.058,2.0823,0.7996,1.4040,0.2229,0.9629,1.7030,0.8982,1.2635,0.729,0.809,0.666,0.801,0.688,0.804,0.770,0.726,5.677,2.111,3.866,0.646,2.090,5.216,2.268,2.412
default,16,1.199922,0.990388,0.318865,0.279528,0.000799,1892.53,64,32,0.3,32,0.5,0.05,0.741,0.123,1.5998,0.6021,1.4410,0.0380,0.6092,1.2687,0.7718,0.6633,0.806,0.755,0.801,0.944,0.814,0.831,0.719,0.799,4.589,1.244,4.095,0.215,1.379,3.911,1.538,1.559
v6-fb-final-v2,3,1.679191,1.234952,0.468889,0.382783,0.000640,484.16,64,32,0.2,32,0.5,0.05,0.954,0.083,2.4771,0.8098,1.4114,0.1871,0.8474,1.6266,0.8045,1.0410,0.646,0.765,0.705,0.838,0.782,0.804,0.777,0.794,5.610,1.907,3.323,0.512,2.198,4.947,1.974,2.315
default,17,1.179675,1.042222,0.320924,0.291244,0.000799,2021.41,64,32,0.3,32,0.5,0.05,0.666,0.125,1.6955,0.6829,1.4785,0.0920,0.6333,1.2984,0.6232,0.6537,0.642,0.584,0.649,0.182,0.753,0.831,0.627,0.801,4.032,1.246,3.369,0.168,1.209,3.933,1.170,1.585
v6-fb-final-v2,4,1.576397,1.186025,0.446727,0.338368,0.000800,612.87,64,32,0.2,32,0.5,0.05,0.907,0.043,1.7626,0.6732,1.4665,0.1284,0.7491,1.4882,0.7775,1.0898,0.777,0.828,0.608,0.961,0.789,0.772,0.787,0.525,5.175,1.828,3.898,0.676,1.654,4.093,1.903,1.930
default,18,1.165641,0.954342,0.319721,0.268464,0.000799,2140.70,64,32,0.3,32,0.5,0.05,0.651,0.125,1.4971,0.5909,1.4123,0.0399,0.6178,1.3062,0.5931,0.6605,0.763,0.804,0.659,0.920,0.736,0.746,0.680,0.857,4.023,1.222,3.448,0.170,1.180,3.275,1.060,1.878
v6-fb-final-v2,5,1.493695,1.210266,0.405326,0.372289,0.000800,732.36,64,32,0.2,32,0.5,0.05,0.945,0.085,1.7830,0.7136,1.3410,0.2453,0.7499,1.4420,1.2960,0.9807,0.881,0.799,0.772,0.508,0.814,0.782,0.259,0.569,7.328,1.682,3.498,0.507,1.975,3.924,1.840,2.258
