trial_id,epoch,train_loss,val_loss,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,6,0.888965,0.559327,0.0005,665.87,64,32,0.3,32
default,49,0.656068,0.439159,0.0005,3510.00,64,32,0.3,32
default,5,0.946283,0.580770,0.0005,575.25,64,32,0.3,32
default,7,0.863662,0.543874,0.0005,761.09,64,32,0.3,32
default,50,0.659122,0.438817,0.0005,3597.50,64,32,0.3,32
default,6,0.913160,0.567118,0.0005,670.88,64,32,0.3,32
default,51,0.661375,0.439150,0.0005,3685.27,64,32,0.3,32
default,8,0.847108,0.532042,0.0005,857.33,64,32,0.3,32
default,7,0.901149,0.556366,0.0005,767.45,64,32,0.3,32
default,52,0.655135,0.452720,0.0005,3773.20,64,32,0.3,32
default,9,0.836094,0.530355,0.0005,956.25,64,32,0.3,32
default,8,0.886627,0.552776,0.0005,866.49,64,32,0.3,32
default,53,0.654344,0.442159,0.0005,3859.11,64,32,0.3,32
default,10,0.825456,0.519755,0.0005,1054.47,64,32,0.3,32
default,9,0.878376,0.538392,0.0005,964.44,64,32,0.3,32
default,54,0.656123,0.436335,0.0005,3940.95,64,32,0.3,32
default,11,0.813433,0.509366,0.0005,1151.01,64,32,0.3,32
default,55,0.654969,0.438345,0.0005,4022.34,64,32,0.3,32
default,10,0.853978,0.532408,0.0005,1062.28,64,32,0.3,32
default,12,0.799573,0.495290,0.0005,1251.89,64,32,0.3,32
default,56,0.649150,0.443393,0.0005,4100.42,64,32,0.3,32
default,11,0.839767,0.522049,0.0005,1162.35,64,32,0.3,32
default,13,0.794797,0.493579,0.0005,1350.44,64,32,0.3,32
default,57,0.649422,0.454879,0.0005,4185.51,64,32,0.3,32
default,12,0.825673,0.505655,0.0005,1260.91,64,32,0.3,32
default,58,0.646906,0.439474,0.0005,4258.44,64,32,0.3,32
default,14,0.785880,0.502359,0.0005,1451.60,64,32,0.3,32
default,13,0.813379,0.496152,0.0005,1362.54,64,32,0.3,32
default,59,0.641232,0.426835,0.0005,4328.96,64,32,0.3,32
default,15,0.788258,0.481469,0.0005,1552.06,64,32,0.3,32
default,60,0.643840,0.454591,0.0005,4404.55,64,32,0.3,32
default,14,0.807576,0.486816,0.0005,1463.69,64,32,0.3,32
default,16,0.784108,0.491165,0.0005,1650.64,64,32,0.3,32
default,61,0.654803,0.436643,0.0005,4485.98,64,32,0.3,32
default,15,0.803044,0.484985,0.0005,1561.62,64,32,0.3,32
default,62,0.640355,0.448136,0.0005,4571.30,64,32,0.3,32
default,17,0.769642,0.482106,0.0005,1748.20,64,32,0.3,32
default,16,0.794529,0.483823,0.0005,1659.95,64,32,0.3,32
default,63,0.652402,0.432824,0.0005,4645.20,64,32,0.3,32
default,18,0.766171,0.472222,0.0005,1849.16,64,32,0.3,32
default,64,0.642961,0.430916,0.0005,4721.71,64,32,0.3,32
default,17,0.792320,0.481716,0.0005,1760.04,64,32,0.3,32
default,19,0.761727,0.476480,0.0005,1947.80,64,32,0.3,32
default,65,0.645899,0.441077,0.0005,4801.51,64,32,0.3,32
default,18,0.783440,0.483326,0.0005,1859.40,64,32,0.3,32
default,66,0.641231,0.431743,0.0005,4881.52,64,32,0.3,32
default,20,0.764068,0.481131,0.0005,2047.76,64,32,0.3,32
default,19,0.776505,0.473215,0.0005,1959.23,64,32,0.3,32
default,67,0.639077,0.436927,0.0005,4960.13,64,32,0.3,32
default,21,0.754621,0.471539,0.0005,2146.78,64,32,0.3,32
default,20,0.769606,0.489875,0.0005,2058.23,64,32,0.3,32
default,68,0.640996,0.426181,0.0005,5042.95,64,32,0.3,32
default,22,0.744191,0.463284,0.0005,2245.42,64,32,0.3,32
default,21,0.767722,0.474167,0.0005,2157.19,64,32,0.3,32
default,69,0.642899,0.435921,0.0005,5131.99,64,32,0.3,32
default,23,0.747025,0.463314,0.0005,2345.45,64,32,0.3,32
default,22,0.765740,0.470410,0.0005,2258.97,64,32,0.3,32
default,70,0.640466,0.440360,0.0005,5224.88,64,32,0.3,32
default,24,0.753349,0.467256,0.0005,2447.35,64,32,0.3,32
default,71,0.639388,0.430159,0.0005,5315.96,64,32,0.3,32
default,23,0.762916,0.474972,0.0005,2360.69,64,32,0.3,32
default,25,0.743936,0.470021,0.0005,2548.41,64,32,0.3,32
default,72,0.639143,0.434532,0.0005,5408.41,64,32,0.3,32
default,24,0.755543,0.460565,0.0005,2463.34,64,32,0.3,32
default,26,0.733642,0.464809,0.0005,2650.26,64,32,0.3,32
default,73,0.639578,0.443887,0.0005,5498.44,64,32,0.3,32
default,25,0.758897,0.466764,0.0005,2560.64,64,32,0.3,32
default,27,0.737276,0.460430,0.0005,2745.48,64,32,0.3,32
default,74,0.635971,0.434255,0.0005,5585.23,64,32,0.3,32
default,26,0.752111,0.475524,0.0005,2656.43,64,32,0.3,32
default,75,0.641488,0.449119,0.0005,5671.32,64,32,0.3,32
default,28,0.729720,0.462800,0.0005,2839.83,64,32,0.3,32
default,27,0.753720,0.460771,0.0005,2749.25,64,32,0.3,32
default,76,0.631323,0.436654,0.0005,5756.77,64,32,0.3,32
default,29,0.731805,0.463432,0.0005,2932.16,64,32,0.3,32
default,28,0.750270,0.453830,0.0005,2843.04,64,32,0.3,32
default,77,0.641281,0.442049,0.0005,5842.83,64,32,0.3,32
