trial_id,epoch,train_loss,val_loss,train_mae,val_mae,learning_rate,elapsed_sec,lstm1_units,lstm2_units,dropout,batch_size
default,35,0.723900,0.312715,0.211721,0.145178,0.000429,3414.01,64,32,0.3,32,1.4496,0.0684,1.3719,0.0467,0.0291,1.2004,0.0655,0.0629,0.706,0.909,0.860,0.992,0.843,0.829,0.873,0.775,3.970,0.368,5.046,0.732,0.191,4.260,0.209,0.116
default,52,0.598472,0.334237,0.183434,0.142245,0.000339,5200.71,64,32,0.3,32
default,36,0.820549,0.308472,0.213789,0.168739,0.000424,3536.52,64,32,0.3,32,1.4976,0.1237,1.2565,0.0938,0.1112,1.1928,0.1026,0.0505,0.747,0.695,0.801,0.989,0.729,0.873,0.994,0.936,4.516,0.173,4.912,0.552,0.175,4.636,0.526,0.326
default,53,0.558239,0.374056,0.183632,0.150333,0.000333,5309.50,64,32,0.3,32
default,37,0.937763,0.310443,0.214113,0.160387,0.000419,3644.99,64,32,0.3,32,1.4615,0.1584,1.2358,0.1045,0.0353,1.1905,0.0760,0.0530,0.815,0.850,0.898,0.926,0.988,0.836,0.979,0.999,4.866,0.166,5.438,0.261,0.522,4.290,0.362,0.891
default,54,0.612308,0.472246,0.187262,0.141479,0.000327,5427.78,64,32,0.3,32
default,38,0.794588,0.325997,0.207329,0.142755,0.000415,3766.77,64,32,0.3,32,1.4468,0.0584,1.2187,0.0265,0.0885,1.2346,0.0630,0.0462,0.650,0.926,0.926,0.986,0.203,0.902,0.512,0.973,3.678,0.339,5.933,0.436,0.094,5.223,0.095,0.294
default,55,0.578890,0.297735,0.183439,0.138164,0.000321,5525.97,64,32,0.3,32
default,39,0.744797,0.299155,0.204404,0.146446,0.000410,3866.70,64,32,0.3,32,1.6626,0.0442,1.2654,0.0505,0.0563,1.2514,0.0605,0.0449,0.749,0.966,0.796,0.813,0.552,0.918,0.799,0.978,4.320,0.262,4.184,0.168,0.274,5.432,0.147,0.248
default,56,0.530144,0.349401,0.178385,0.134097,0.000315,5627.87,64,32,0.3,32
default,40,0.804993,0.335360,0.205333,0.157147,0.000405,3975.32,64,32,0.3,32,1.4858,0.0440,1.2243,0.0254,0.0658,1.6056,0.0903,0.0752,0.607,0.512,0.881,0.847,0.974,0.810,0.303,0.998,3.272,0.201,5.003,0.173,0.354,4.307,0.092,0.309
default,57,0.564490,0.349757,0.174037,0.126089,0.000309,5726.70,64,32,0.3,32
default,41,0.699549,0.292956,0.206123,0.143790,0.000400,4068.23,64,32,0.3,32,1.5314,0.0352,1.2557,0.0804,0.0311,1.2527,0.0485,0.0666,0.717,0.459,0.883,0.975,0.703,0.781,0.934,0.940,4.186,0.091,5.028,0.375,0.126,3.780,0.241,0.164
default,58,0.541688,0.324746,0.176120,0.139289,0.000303,5815.33,64,32,0.3,32
default,42,0.726392,0.302683,0.199742,0.145243,0.000395,4157.31,64,32,0.3,32,1.6392,0.0458,1.2622,0.0665,0.0366,1.1671,0.0421,0.0810,0.852,0.967,0.910,0.960,0.936,0.874,0.797,0.998,5.308,0.497,6.089,0.259,0.466,4.791,0.228,0.364
default,59,0.542301,0.311096,0.180483,0.134026,0.000296,5917.90,64,32,0.3,32
default,43,0.806235,0.308685,0.193543,0.143645,0.000389,4261.84,64,32,0.3,32,1.4557,0.0870,1.2101,0.0783,0.0507,1.1594,0.0453,0.0467,0.895,0.471,0.898,0.835,0.975,0.867,0.949,0.635,5.827,0.092,5.115,0.200,0.334,4.593,0.317,0.153
default,60,0.534905,0.291000,0.171076,0.133027,0.000290,6027.98,64,32,0.3,32
default,44,0.686681,0.292673,0.198051,0.138811,0.000384,4371.41,64,32,0.3,32,1.4111,0.0302,1.2530,0.0509,0.0427,1.1630,0.0920,0.0507,0.832,0.961,0.860,0.741,0.802,0.837,0.955,0.797,4.758,0.205,4.752,0.134,0.145,4.273,0.191,0.102
default,61,0.502110,0.447393,0.168926,0.153995,0.000284,6125.14,64,32,0.3,32
default,45,0.685287,0.317434,0.211884,0.132287,0.000379,4471.24,64,32,0.3,32,1.5227,0.0289,1.1831,0.0239,0.0368,1.2773,0.0469,0.0466,0.667,0.605,0.959,0.667,0.989,0.938,0.940,0.981,3.707,0.081,6.657,0.126,0.605,5.511,0.214,0.367
default,62,0.512485,0.305472,0.172768,0.137197,0.000278,6239.82,64,32,0.3,32
default,46,0.700854,0.331822,0.209048,0.143566,0.000373,4593.17,64,32,0.3,32,1.4574,0.0720,1.2297,0.0370,0.0299,1.1566,0.0706,0.0936,0.804,0.918,0.888,0.965,0.960,0.784,0.946,0.263,4.625,0.221,4.961,0.297,0.530,3.985,0.195,0.125
default,63,0.546003,0.298583,0.175159,0.142490,0.000272,6364.59,64,32,0.3,32
default,47,0.721767,0.304335,0.193824,0.128061,0.000367,4718.56,64,32,0.3,32,1.4079,0.0294,1.1977,0.0248,0.0503,1.2135,0.0356,0.0425,0.743,0.963,0.821,0.993,0.870,0.893,0.787,0.991,4.009,0.309,4.668,0.678,0.156,4.879,0.181,0.419
default,48,0.690483,0.411407,0.185610,0.130887,0.000362,4822.90,64,32,0.3,32,1.4359,0.0713,1.2094,0.0353,0.0261,1.1347,0.0420,0.0410,0.847,0.995,0.892,0.955,0.819,0.878,0.963,0.968,4.927,0.547,4.986,0.197,0.365,4.573,0.365,0.196
default,49,0.629202,0.304096,0.197027,0.142102,0.000356,4918.20,64,32,0.3,32,1.5322,0.0322,1.2009,0.0547,0.0720,1.1626,0.0430,0.0809,0.695,0.829,0.815,0.954,0.981,0.828,0.995,0.834,3.648,0.398,4.458,0.219,0.521,4.232,0.467,0.352
default,50,0.758649,0.286616,0.196076,0.148098,0.000350,5042.80,64,32,0.3,32,1.4830,0.1306,1.2410,0.0381,0.0285,1.1637,0.0644,0.0684,0.711,0.943,0.879,0.931,0.988,0.925,0.508,0.681,3.763,0.166,4.923,0.179,0.492,5.285,0.124,0.115
