severity,type,description,competition_slug,season,event_name,caption_name,score,count
error,score_out_of_range,"Score 38.35 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,38.35,
error,score_out_of_range,"Score 38.3 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,38.3,
error,score_out_of_range,"Score 38.15 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,38.15,
error,score_out_of_range,"Score 38.1 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,38.1,
error,score_out_of_range,"Score 38 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,38,
error,score_out_of_range,"Score 37.5 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,37.5,
error,score_out_of_range,"Score 37.5 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,37.5,
error,score_out_of_range,"Score 37.4 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,37.4,
error,score_out_of_range,"Score 37.4 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,37.4,
error,score_out_of_range,"Score 37.2 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,37.2,
error,score_out_of_range,"Score 37.1 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,37.1,
error,score_out_of_range,"Score 36.75 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,36.75,
error,score_out_of_range,"Score 36.75 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,36.75,
error,score_out_of_range,"Score 36.75 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,36.75,
error,score_out_of_range,"Score 36.7 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,36.7,
error,score_out_of_range,"Score 36.55 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,36.55,
error,score_out_of_range,"Score 36.4 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,36.4,
error,score_out_of_range,"Score 36.3 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,36.3,
error,score_out_of_range,"Score 36.3 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,36.3,
error,score_out_of_range,"Score 36.2 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,36.2,
error,score_out_of_range,"Score 35.9 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,35.9,
error,score_out_of_range,"Score 35.8 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,35.8,
error,score_out_of_range,"Score 35.8 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,35.8,
error,score_out_of_range,"Score 35.45 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,35.45,
error,score_out_of_range,"Score 35.4 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,35.4,
error,score_out_of_range,"Score 35.25 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,35.25,
error,score_out_of_range,"Score 34.9 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,34.9,
error,score_out_of_range,"Score 34.9 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,34.9,
error,score_out_of_range,"Score 34.75 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,34.75,
error,score_out_of_range,"Score 34.75 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,34.75,
error,score_out_of_range,"Score 34.65 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,34.65,
error,score_out_of_range,"Score 34.6 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,34.6,
error,score_out_of_range,"Score 34.55 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,34.55,
error,score_out_of_range,"Score 34.4 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,34.4,
error,score_out_of_range,"Score 34.3 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,34.3,
error,score_out_of_range,"Score 34.25 exceeds normal 0-20pt range for caption "Special CG"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special CG,34.25,
error,score_out_of_range,"Score 33.9 exceeds normal 0-20pt range for caption "Special - Visual Proficiency"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special - Visual Proficiency,33.9,
error,score_out_of_range,"Score 33.8 exceeds normal 0-20pt range for caption "Special Brass"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Brass,33.8,
error,score_out_of_range,"Score 33.35 exceeds normal 0-20pt range for caption "Special Perc"",2018-dci-world-championship-finals,2018,"DCI World Championship Finals",Special Perc,33.35,
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2019-dci-performers-showcase-venue-1,2019,"DCI Performers Showcase - Venue 1",,,21
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2019-dci-performers-showcase-venue-2,2019,"DCI Performers Showcase - Venue 2",,,38
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2019-dci-performers-showcase-venue-3,2019,"DCI Performers Showcase - Venue 3",,,31
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2019-dci-performers-showcase-venue-4,2019,"DCI Performers Showcase - Venue 4",,,21
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2018-dci-performers-showcase-venue-1,2018,"DCI Performers Showcase - Venue 1",,,3
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2018-dci-performers-showcase-venue-2,2018,"DCI Performers Showcase - Venue 2",,,3
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2018-dci-performers-showcase-venue-3,2018,"DCI Performers Showcase - Venue 3",,,2
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2018-dci-performers-showcase-venue-4,2018,"DCI Performers Showcase - Venue 4",,,7
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2017-dci-performers-showcase-venue-1,2017,"DCI Performers Showcase - Venue 1",,,23
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2017-dci-performers-showcase-venue-2,2017,"DCI Performers Showcase - Venue 2",,,46
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2017-dci-performers-showcase-venue-3,2017,"DCI Performers Showcase - Venue 3",,,44
warning,performers_showcase,"Performers Showcase event found (Solo & Ensemble - should exclude from ML training)",2017-dci-performers-showcase-venue-4,2017,"DCI Performers Showcase - Venue 4",,,36
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2025,"DCI All-Age World Championship",Color Guard,,69
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2025,"DCI All-Age World Championship",General Effect 1,,69
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2025,"DCI All-Age World Championship",General Effect 2,,69
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2025,"DCI All-Age World Championship",Music - Analysis,,69
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2025,"DCI All-Age World Championship",Music - Brass,,69
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2025,"DCI All-Age World Championship",Music - Percussion,,69
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2025,"DCI All-Age World Championship",Visual - Analysis,,69
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2025,"DCI All-Age World Championship",Visual Proficiency,,69
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",Color Guard,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",General Effect 1,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",General Effect 2,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",Music - Analysis,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",Music - Brass,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",Music - Percussion,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",Penalties,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",Visual Analysis,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2024,"DCI All-Age World Championship",Visual Proficiency,,25
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",1 Visual Effect,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",2 Music Effect,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",4 Visual Ensemble,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",5 Color Guard,,20
warning,all_age_class,"All-Age Class scores found (should exclude from World/Open Class ML training)",,2023,"DCI Cincinnati",6 Brass,,20
